state,Crop,area_acres,predicted_yield,District,modal_price
Assam,Jute,94520.0,9.919565217,Dhubri,2800
Assam,Jute,94520.0,9.919565217,Sonitpur,3900
Assam,Jute,78702.0,9.040869565,Dhubri,2800
Assam,Jute,78702.0,9.040869565,Sonitpur,3900
Assam,Jute,73545.0,9.13173913,Dhubri,2800
Assam,Jute,73545.0,9.13173913,Sonitpur,3900
Assam,Jute,69513.0,9.794782609,Dhubri,2800
Assam,Jute,69513.0,9.794782609,Sonitpur,3900
Assam,Jute,68178.0,9.675652174,Dhubri,2800
Assam,Jute,68178.0,9.675652174,Sonitpur,3900
Assam,Jute,67915.0,9.963478261,Dhubri,2800
Assam,Jute,67915.0,9.963478261,Sonitpur,3900
Assam,Jute,64027.0,10.2626087,Dhubri,2800
Assam,Jute,64027.0,10.2626087,Sonitpur,3900
Assam,Jute,56757.0,10.28740741,Dhubri,2800
Assam,Jute,56757.0,10.28740741,Sonitpur,3900
Assam,Jute,57663.0,9.352962963,Dhubri,2800
Assam,Jute,57663.0,9.352962963,Sonitpur,3900
Assam,Jute,59842.0,10.37444444,Dhubri,2800
Assam,Jute,59842.0,10.37444444,Sonitpur,3900
Assam,Jute,60111.0,10.38925926,Dhubri,2800
Assam,Jute,60111.0,10.38925926,Sonitpur,3900
Assam,Jute,65270.0,10.61148148,Dhubri,2800
Assam,Jute,65270.0,10.61148148,Sonitpur,3900
Assam,Jute,62267.0,10.21074074,Dhubri,2800
Assam,Jute,62267.0,10.21074074,Sonitpur,3900
Assam,Jute,65560.0,9.125555556,Dhubri,2800
Assam,Jute,65560.0,9.125555556,Sonitpur,3900
Assam,Jute,65092.0,8.367777778,Dhubri,2800
Assam,Jute,65092.0,8.367777778,Sonitpur,3900
Assam,Jute,69822.0,9.991111111,Dhubri,2800
Assam,Jute,69822.0,9.991111111,Sonitpur,3900
Assam,Jute,70403.0,10.46592593,Dhubri,2800
Assam,Jute,70403.0,10.46592593,Sonitpur,3900
Assam,Jute,72128.0,11.72703704,Dhubri,2800
Assam,Jute,72128.0,11.72703704,Sonitpur,3900
Assam,Jute,75140.0,10.32555556,Dhubri,2800
Assam,Jute,75140.0,10.32555556,Sonitpur,3900
Assam,Jute,69926.0,11.3137037,Dhubri,2800
Assam,Jute,69926.0,11.3137037,Sonitpur,3900
Assam,Jute,65789.0,11.11888889,Dhubri,2800
Assam,Jute,65789.0,11.11888889,Sonitpur,3900
Assam,Jute,64247.0,11.66851852,Dhubri,2800
Assam,Jute,64247.0,11.66851852,Sonitpur,3900
Assam,Jute,57981.0,7.193043478,Dhubri,2800
Assam,Jute,57981.0,7.193043478,Sonitpur,3900
Assam,Maize,19216.0,0.615652174,Sonitpur,1800
Assam,Maize,19810.0,0.608695652,Sonitpur,1800
Assam,Maize,19708.0,0.613913043,Sonitpur,1800
Assam,Maize,20241.0,0.605652174,Sonitpur,1800
Assam,Maize,19600.0,0.608695652,Sonitpur,1800
Assam,Maize,19812.0,0.606086957,Sonitpur,1800
Assam,Maize,19569.0,0.607391304,Sonitpur,1800
Assam,Maize,18969.0,0.635925926,Sonitpur,1800
Assam,Maize,18657.0,0.6252,Sonitpur,1800
Assam,Maize,18362.0,0.60962963,Sonitpur,1800
Assam,Maize,17382.0,0.595555556,Sonitpur,1800
Assam,Maize,19481.0,0.617407407,Sonitpur,1800
Assam,Maize,19772.0,0.61,Sonitpur,1800
Assam,Maize,21297.0,0.693333333,Sonitpur,1800
Assam,Maize,23695.0,0.771481481,Sonitpur,1800
Assam,Maize,24068.0,3.53037037,Sonitpur,1800
